ministry,budget,revenue,capital,year
Ministry of Agriculture and Farmers Welfare,140528.78,140416.57,112.21,2024
Department of Agriculture and Farmers Welfare,130561.38,130451.62,109.76,2024
Department of Agricultural Research and Education,9967.4,9964.95,2.45,2024
Department of Atomic Energy,24123.92,14157.51,9966.41,2024
Atomic Energy,24123.92,14157.51,9966.41,2024
Ministry of AYUSH,4408.93,4381.86,27.07,2024
Ministry of Ayush,4408.93,4381.86,27.07,2024
Ministry of Chemicals and Fertilisers,177061.47,177049.76,11.71,2024
Department of Chemicals and Petrochemicals,185.72,184.7,1.02,2024
Department of Fertilisers,170944.53,170935.64,8.89,2024
Department of Pharmaceuticals,5931.22,5929.42,1.8,2024
Ministry of Civil Aviation,2102.87,2057.87,45,2024
Ministry of Civil Aviation,2102.87,2057.87,45,2024
Ministry of Coal,3635.32,3633.12,2.2,2024
Ministry of Coal,3635.32,3633.12,2.2,2024
Ministry of Commerce and Industry,17843.9,12677.46,5166.44,2024
Department of Commerce,5873.07,5825.76,47.31,2024
Department for Promotion of Industry and Internal Trade,11970.83,6851.7,5119.13,2024
Ministry of Communications,102267.02,53742.59,48524.43,2024
Department of Posts,28276.08,27026.57,1249.51,2024
Department of Telecommunications,73990.94,26716.02,47274.92,2024
"Ministry of Consumer Affairs, Food and Public Distribution",239521.37,239405.33,116.04,2024
Department of Consumer Affairs,4474.17,4380.75,93.42,2024
Department of Food and Public Distribution,235047.2,235024.58,22.62,2024
Ministry of Cooperation,1744.74,1742.84,1.9,2024
Ministry of Cooperation,1744.74,1742.84,1.9,2024
Ministry of Corporate Affairs,5561.86,5506.24,55.62,2024
Ministry of Corporate Affairs,5561.86,5506.24,55.62,2024
Ministry of Culture,3416.63,3216.63,200,2024
Ministry of Culture,3416.63,3216.63,200,2024
Ministry of Defence,784678.28,553668.56,231009.72,2024
Ministry of Defence (Civil),28554.61,16851.36,11703.25,2024
Defence Services (Revenue),365478.98,365478.98,0,2024
Capital Outlay on Defence Services,219306.47,0,219306.47,2024
Defence Pensions,171338.22,171338.22,0,2024
Ministry of Development  of North Eastern Region,6812.3,2247.7,4564.6,2024
Ministry of Development of North Eastern Region,6812.3,2247.7,4564.6,2024
Ministry of Earth Sciences,3789.23,3073.19,716.04,2024
Ministry of Earth Sciences,3789.23,3073.19,716.04,2024
Ministry of Education,139289.48,139285.95,3.53,2024
Department of School Education and Literacy,83562.26,83561.41,0.85,2024
Department of Higher Education,55727.22,55724.54,2.68,2024
Ministry of Electronics and Information Technology,21632.96,21234.15,398.81,2024
Ministry of Electronics and Information Technology,21632.96,21234.15,398.81,2024
"Ministry of Environment, Forests and Climate Change",3759.46,3536.66,222.8,2024
"Ministry of Environment, Forests and Climate Change",3759.46,3536.66,222.8,2024
Ministry of External Affairs,22118.97,20706.2,1412.77,2024
Ministry of External Affairs,22118.97,20706.2,1412.77,2024
Ministry of Finance,1972509.48,1722326.88,250182.6,2024
Department of Economic Affairs,20559.11,4249.65,16309.46,2024
Department of Expenditure,525.53,451.4,74.13,2024
Department of Financial Services,3746.95,3686.99,59.96,2024
Department of Public Enterprises,29.6,28.94,0.66,2024
Department of Investment and Public Asset Management (DIPAM),55.92,54.25,1.67,2024
Department of Revenue,2513.02,1915.31,597.71,2024
Direct Taxes,15304.57,10320.12,4984.45,2024
Indirect Taxes,27682.63,26076.63,1606,2024
Indian Audit and Accounts Department,6436.84,6270.19,166.65,2024
Interest Payments,1403971.79,1403971.79,0,2024
Repayment of Debt,0.0,0,0,2024
Pensions,97500.0,97500,0,2024
Transfers to States,394183.52,167801.61,226381.91,2024
"Ministry of Fisheries, Animal Husbandry and Dairying",8915.26,8438.22,477.04,2024
Department of Fisheries,2761.8,2732.27,29.53,2024
